NAICS code,caption,trir,dart
11,"Agriculture, forestry, fishing and hunting",6.1,3.6
111,Crop production,5.9,3.2
1111,Oilseed and grain farming,3.7,1.1
1112,Vegetable and melon farming,5.3,2.7
1113,Fruit and tree nut farming,7.3,4.1
1114,"Greenhouse, nursery, and floriculture production",4.9,2.8
1119,Other crop farming,6.2,3.2
112,Animal production and aquaculture,5.7,3.2
1121,Cattle ranching and farming,5.5,3.1
11211,"Beef cattle ranching and farming, including feedlots",5.3,3.1
11212,Dairy cattle and milk production,5.6,3.1
1122,Hog and pig farming,6.8,3.5
1123,Poultry and egg production,5.7,3.5
113,Forestry and logging,3.6,2.5
1132,Forest nurseries and gathering of forest products,5.4,3.1
1133,Logging,3.8,2.7
115112,"Soil preparation, planting, and cultivating",2.5,0.9
115113,"Crop harvesting, primarily by machine",3.2,1.9
115114,Postharvest crop activities (except cotton ginning),5.8,3.6
115116,Farm management services,4.2,2.9
1152,Support activities for animal production,2.5,1.7
1153,Support activities for forestry,2.8,1.4
21,"Mining, quarrying, and oil and gas extraction",1.5,0.9
211,Oil and gas extraction,0.9,0.4
2111,Oil and gas extraction,0.9,0.4
21111,Oil and gas extraction,0.9,0.4
211111,Crude petroleum and natural gas extraction,0.9,0.4
211112,Natural gas liquid extraction,1.1,-
212,Mining (except oil and gas)7,2.5,1.6
2121,Coal mining,3.7,2.4
21211,Coal mining,3.7,2.4
212111,Bituminous coal and lignite surface mining,1.6,1
212112,Bituminous coal underground mining,5.5,3.5
212113,Anthracite mining,4.6,3.5
2122,Metal ore mining,2.1,1.4
21221,Iron ore mining,2.4,1.6
21222,Gold ore and silver ore mining,1.5,1
212221,Gold ore mining,1.3,0.9
212222,Silver ore mining,3.7,2.6
21223,"Copper, nickel, lead, and zinc mining",2.5,1.8
212231,Lead ore and zinc ore mining,5.2,3.9
212234,Copper ore and nickel ore mining,2.1,1.4
21229,Other metal ore mining,2.5,1.8
212291,Uranium-radium-vanadium ore mining,-,-
212299,All other metal ore mining,2.6,1.9
2123,Nonmetallic mineral mining and quarrying,2,1.3
21231,Stone mining and quarrying,2.2,1.4
212311,Dimension stone mining and quarrying,2.8,2
212312,Crushed and broken limestone mining and quarrying,2.1,1.3
212313,Crushed and broken granite mining and quarrying,1.6,1
212319,Other crushed and broken stone mining and quarrying,2.4,1.6
21232,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying",1.9,1.2
212321,Construction sand and gravel mining,2,1.3
212324,Kaolin and ball clay mining,1.1,0.8
212325,Clay and ceramic and refractory minerals mining,2.4,1.5
21239,Other nonmetallic mineral mining and quarrying,1.6,1
212391,"Potash, soda, and borate mineral mining",1.5,1
212392,Phosphate rock mining,1.2,0.8
212393,Other chemical and fertilizer mineral mining,2.3,1.3
212399,All other nonmetallic mineral mining,1.3,0.9
213,Support activities for mining,1.2,0.8
2131,Support activities for mining,1.2,0.8
21311,Support activities for mining,1.2,0.8
213111,Drilling oil and gas wells,1.5,0.9
213112,Support activities for oil and gas operations,1.1,0.7
23,Construction,3.2,1.9
236,Construction of buildings,2.8,1.6
2361,Residential building construction,3.3,2
2362,Nonresidential building construction,2.4,1.3
237,Heavy and civil engineering construction,2.8,1.7
2371,Utility system construction,2.6,1.5
