NAICS code,caption,trir,dart
23711,Water and sewer line and related structures construction,4.1,2.2
23712,Oil and gas pipeline and related structures construction,0.7,0.4
23713,Power and communication line and related structures construction,2.8,1.9
2372,Land subdivision,2.3,0.7
2373,"Highway, street, and bridge construction",3.5,2.3
2379,Other heavy and civil engineering construction,1.8,1
238,Specialty trade contractors,3.5,2.1
2381,"Foundation, structure, and building exterior contractors",5,3
23811,Poured concrete foundation and structure contractors,4.5,3
23812,Structural steel and precast concrete contractors,6.3,3.5
23813,Framing contractors,7,4.7
23814,Masonry contractors,4,2.4
23815,Glass and glazing contractors,3.7,2.4
23816,Roofing contractors,5.6,3.6
23817,Siding contractors,3.6,2.2
2382,Building equipment contractors,3.3,1.8
23821,Electrical contractors and other wiring installation contractors,2.7,1.5
23822,"Plumbing, heating, and air-conditioning contractors",3.8,2.1
23829,Other building equipment contractors,2.6,1.8
2383,Building finishing contractors,3.5,2
23831,Drywall and insulation contractors,4.1,2.3
23832,Painting and wall covering contractors,3,1.9
23833,Flooring contractors,2.4,1.1
23834,Tile and terrazzo contractors,2.6,1.6
23835,Finish carpentry contractors,4.2,2.2
23839,Other building finishing contractors,3.3,2.5
2389,Other specialty trade contractors,2.6,1.7
23891,Site preparation contractors,2.5,1.6
23899,All other specialty trade contractors,2.8,1.9
31-33,Manufacturing,3.6,2.1
311,Food manufacturing,4.7,3.2
3111,Animal food manufacturing,3.7,2.2
31111,Animal food manufacturing,3.7,2.2
311111,Dog and cat food manufacturing,3.3,1.9
311119,Other animal food manufacturing,4,2.5
3112,Grain and oilseed milling,3,1.7
31121,Flour milling and malt manufacturing,3.8,2.3
311211,Flour milling,4.1,2.3
311212,Rice milling,3,2
31122,Starch and vegetable fats and oils manufacturing,2.6,1.5
311221,Wet corn milling,1.7,0.9
311224,Soybean and other oilseed processing,3.3,1.7
31123,Breakfast cereal manufacturing,2.6,1.4
3113,Sugar and confectionery product manufacturing,4.6,3
31131,Sugar manufacturing,7.1,3.8
311313,Beet sugar manufacturing,8.5,3.8
311314,Cane sugar manufacturing,5.8,3.7
31134,Nonchocolate confectionery manufacturing,3.3,1.8
31135,Chocolate and confectionery manufacturing,4.4,3.4
311352,Confectionery manufacturing from purchased chocolate,4.1,3.1
3114,Fruit and vegetable preserving and specialty food manufacturing,4.1,2.8
31141,Frozen food manufacturing,4.4,3.1
311411,"Frozen fruit, juice, and vegetable manufacturing",5.8,3.7
311412,Frozen specialty food manufacturing,3.6,2.7
31142,"Fruit and vegetable canning, pickling, and drying",3.8,2.5
311421,Fruit and vegetable canning,3.9,2.6
311422,Specialty canning,2.6,1.8
311423,Dried and dehydrated food manufacturing,4.3,2.7
3115,Dairy product manufacturing,5.1,3.4
31151,Dairy product (except frozen) manufacturing,5.2,3.5
311511,Fluid milk manufacturing,5.6,4
311512,Creamery butter manufacturing,3.4,2.7
311513,Cheese manufacturing,5.6,3.5
311514,"Dry, condensed, and evaporated dairy product manufacturing",3.1,2
31152,Ice cream and frozen dessert manufacturing,4.7,2.8
3116,Animal slaughtering and processing,5.3,3.8
31161,Animal slaughtering and processing,5.3,3.8
311611,Animal (except poultry) slaughtering,6.9,4.7
311612,Meat processed from carcasses,5.7,4.4
311613,Rendering and meat byproduct processing,6.6,3.7
311615,Poultry processing,4.2,2.9
3117,Seafood product preparation and packaging,6.8,4.3
3118,Bakeries and tortilla manufacturing,4.3,2.9
31181,Bread and bakery product manufacturing,4.4,3
311811,Retail bakeries,2.6,1.5
311812,Commercial bakeries,5,3.5
311813,"Frozen cakes, pies, and other pastries manufacturing",7.3,5.8
31182,"Cookie, cracker, and pasta manufacturing",3.6,2.5
311821,Cookie and cracker manufacturing,3.7,2.3
311824,"Dry pasta, dough, and flour mixes manufacturing from purchased flour",3.5,2.7
31183,Tortilla manufacturing,4.7,3.2
3119,Other food manufacturing,4.1,2.6
31191,Snack food manufacturing,4.5,2.8
311911,Roasted nuts and peanut butter manufacturing,5.8,3.6
311919,Other snack food manufacturing,4.1,2.6
31192,Coffee and tea manufacturing,3.6,2.3
31193,Flavoring syrup and concentrate manufacturing,1.8,0.9
31194,Seasoning and dressing manufacturing,3.1,2.1
311941,"Mayonnaise, dressing, and other prepared sauce manufacturing",3.7,2.5
311942,Spice and extract manufacturing,2.7,1.9
31199,All other food manufacturing,4.7,2.8
311991,Perishable prepared food manufacturing,5,3
311999,All other miscellaneous food manufacturing,4.2,2.6
312,Beverage and tobacco product manufacturing,4.7,3.2
3121,Beverage manufacturing,4.8,3.3
31211,Soft drink and ice manufacturing,5.8,4.5
312111,Soft drink manufacturing,6.3,4.9
312112,Bottled water manufacturing,3.6,2.7
312113,Ice manufacturing,6,3
31212,Breweries,4.4,2.2
31213,Wineries,3.4,2
31214,Distilleries,2.3,1.3
3122,Tobacco manufacturing,3.1,2.1
313,Textile mills,3.2,1.9
3131,"Fiber, yarn, and thread mills",2.6,1.5
3132,Fabric mills,3.3,2
31321,Broadwoven fabric mills,2.9,1.7
31323,Nonwoven fabric mills,4.6,2.9
31324,Knit fabric mills,2.9,1.5
3133,Textile and fabric finishing and fabric coating mills,3.7,2.1
31331,Textile and fabric finishing mills,2.9,1.7
31332,Fabric coating mills,6.5,3.3
314,Textile product mills,2.8,1.7
3141,Textile furnishings mills,2.3,1.5
31411,Carpet and rug mills,2.2,1.5
31412,Curtain and linen mills,2.4,1.4
3149,Other textile product mills,3.3,1.9
31491,Textile bag and canvas mills,3,1.6
31499,All other textile product mills,3.5,2.1
314994,"Rope, cordage, twine, tire cord, and tire fabric mills",5.3,2.3
314999,All other miscellaneous textile product mills,3.1,2.1
315,Apparel manufacturing,2,1.1
3151,Apparel knitting mills,2.6,1.5
31511,Hosiery and sock mills,2.5,1.7
31519,Other apparel knitting mills,2.7,1
31522,Men's and boys' cut and sew apparel manufacturing,2.1,1
31524,"Women's, girls', and infants' cut and sew apparel manufacturing",2.4,1.3
31528,Other cut and sew apparel manufacturing,2.5,1.6
3159,Apparel accessories and other apparel manufacturing,3,1.4
316,Leather and allied product manufacturing,5.5,3.5
3161,Leather and hide tanning and finishing,6.9,4.5
3162,Footwear manufacturing,6.7,4.1
3169,Other leather and allied product manufacturing,3.4,2.4
31699,Other leather and allied product manufacturing,3.4,2.4
321,Wood product manufacturing,6.4,3.6
3211,Sawmills and wood preservation,5.4,3
32111,Sawmills and wood preservation,5.4,3
321113,Sawmills,5.5,3
321114,Wood preservation,5.1,2.6
3212,"Veneer, plywood, and engineered wood product manufacturing",6.2,3.5
32121,"Veneer, plywood, and engineered wood product manufacturing",6.2,3.5
321211,Hardwood veneer and plywood manufacturing,5,3
321212,Softwood veneer and plywood manufacturing,3.7,2.2
321213,Engineered wood member (except truss) manufacturing,5.5,2.9
321214,Truss manufacturing,10.2,5.6
321219,Reconstituted wood product manufacturing,2.9,1.8
3219,Other wood product manufacturing,7,3.9
32191,Millwork,5.6,2.8
321911,Wood window and door manufacturing,4.8,2.4
321912,"Cut stock, resawing lumber, and planing",8.5,4.2
321918,Other millwork (including flooring),5.5,2.9
32192,Wood container and pallet manufacturing,7.7,5.2
32199,All other wood product manufacturing,8.5,4.2
321991,Manufactured home (mobile home) manufacturing,8.6,5.4
321999,All other miscellaneous wood product manufacturing,6.7,2.6
322,Paper manufacturing,2.7,1.6
3221,"Pulp, paper, and paperboard mills",1.9,1.1
32211,Pulp mills,1.4,0.9
32212,Paper mills,1.9,1
322121,Paper (except newsprint) mills,1.9,1
322122,Newsprint mills,2.4,1
32213,Paperboard mills,2,1.2
3222,Converted paper product manufacturing,2.9,1.7
32221,Paperboard container manufacturing,2.7,1.6
322211,Corrugated and solid fiber box manufacturing,2.5,1.5
322212,Folding paperboard box manufacturing,3.1,1.8
322219,Other paperboard container manufacturing,3.1,1.8
32222,Paper bag and coated and treated paper manufacturing,3,1.7
32223,Stationery product manufacturing,4.5,2.6
32229,Other converted paper product manufacturing,3,1.8
322291,Sanitary paper product manufacturing,2.5,1.4
322299,All other converted paper product manufacturing,3.9,2.4
323,Printing and related support activities,2.6,1.4
3231,Printing and related support activities,2.6,1.4
32311,Printing,2.5,1.4
323111,Commercial printing (except screen and books),2.6,1.4
323113,Commercial screen printing,2.1,1.5
323117,Books printing,2.9,1.6
32312,Support activities for printing,3.7,2
324,Petroleum and coal products manufacturing,1.3,0.8
3241,Petroleum and coal products manufacturing,1.3,0.8
32411,Petroleum refineries,0.6,0.3
32412,"Asphalt paving, roofing, and saturated materials manufacturing",2.2,1.5
324121,Asphalt paving mixture and block manufacturing,2.2,1.4
324122,Asphalt shingle and coating materials manufacturing,2.2,1.7
32419,Other petroleum and coal products manufacturing,2.9,2.1
324191,Petroleum lubricating oil and grease manufacturing,2.6,1.9
325,Chemical manufacturing,2,1.2
3251,Basic chemical manufacturing,1.3,0.7
32511,Petrochemical manufacturing,0.6,0.2
32512,Industrial gas manufacturing,0.9,0.5
32513,Synthetic dye and pigment manufacturing,2.1,1.2
32518,Other basic inorganic chemical manufacturing,1.1,0.6
32519,Other basic organic chemical manufacturing,1.8,1.1
325193,Ethyl alcohol manufacturing,3.5,1.6
325199,All other basic organic chemical manufacturing,1.2,0.8
3252,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",1.5,0.9
32521,Resin and synthetic rubber manufacturing,1.4,0.8
325211,Plastics material and resin manufacturing,1.4,0.8
325212,Synthetic rubber manufacturing,1.5,1
32522,Artificial and synthetic fibers and filaments manufacturing,1.8,1.2
3253,"Pesticide, fertilizer, and other agricultural chemical manufacturing",2.2,1.2
32531,Fertilizer manufacturing,2.3,1.2
325312,Phosphatic fertilizer manufacturing,2,1
32532,Pesticide and other agricultural chemical manufacturing,2.2,1.1
3254,Pharmaceutical and medicine manufacturing,2,1.2
32541,Pharmaceutical and medicine manufacturing,2,1.2
325411,Medicinal and botanical manufacturing,3.1,2.2
325412,Pharmaceutical preparation manufacturing,2,1.2
325413,In-vitro diagnostic substance manufacturing,1.8,0.8
325414,Biological product (except diagnostic) manufacturing,1.4,0.7
3255,"Paint, coating, and adhesive manufacturing",3.3,1.8
32551,Paint and coating manufacturing,3.2,1.6
32552,Adhesive manufacturing,3.3,2.1
3256,"Soap, cleaning compound, and toilet preparation manufacturing",2.3,1.4
32561,Soap and cleaning compound manufacturing,2,1.1
325611,Soap and other detergent manufacturing,2.2,1.3
325612,Polish and other sanitation good manufacturing,1.8,0.9
325613,Surface active agent manufacturing,1.6,1.1
32562,Toilet preparation manufacturing,2.7,1.7
3259,Other chemical product and preparation manufacturing,2.1,1.4
32591,Printing ink manufacturing,1.8,1.5
32599,All other chemical product and preparation manufacturing,2,1.3
325991,Custom compounding of purchased resins,2.9,1.6
325992,"Photographic film, paper, plate, and chemical manufacturing",1.9,1.4
325998,All other miscellaneous chemical product and preparation manufacturing,1.7,1.2
326,Plastics and rubber products manufacturing,3.9,2.4
3261,Plastics product manufacturing,3.9,2.3
32611,Plastics packaging materials and unlaminated film and sheet manufacturing,4.2,2.6
326111,Plastics bag and pouch manufacturing,3.6,2.6
326112,Plastics packaging film and sheet (including laminated) manufacturing,3,1.7
326113,Unlaminated plastics film and sheet (except packaging) manufacturing,5.3,3.1
32612,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",3.8,2.2
326121,Unlaminated plastics profile shape manufacturing,3.5,1.9
326122,Plastics pipe and pipe fitting manufacturing,4.1,2.4
32613,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",4.6,3
32614,Polystyrene foam product manufacturing,3.4,2.3
32615,Urethane and other foam product (except polystyrene) manufacturing,3.1,1.8
32616,Plastics bottle manufacturing,2.8,1.4
32619,Other plastics product manufacturing,4,2.3
326191,Plastics plumbing fixture manufacturing,5.1,3.3
326199,All other plastics product manufacturing,3.9,2.3
3262,Rubber product manufacturing,3.9,2.6
32621,Tire manufacturing,3.9,2.7
326211,Tire manufacturing (except retreading),4,2.8
326212,Tire retreading,3,2.1
32622,Rubber and plastics hoses and belting manufacturing,4.3,2.5
32629,Other rubber product manufacturing,3.6,2.5
326291,Rubber product manufacturing for mechanical use,3.6,2.5
326299,All other rubber product manufacturing,3.6,2.5
327,Nonmetallic mineral product manufacturing,4.1,2.5
3271,Clay product and refractory manufacturing,3.9,2.3
32711,"Pottery, ceramics, and plumbing fixture manufacturing",3.1,2
32712,Clay building material and refractories manufacturing,4.4,2.4
3272,Glass and glass product manufacturing,3.9,2.2
32721,Glass and glass product manufacturing,3.9,2.2
327211,Flat glass manufacturing,3.3,2.2
327212,Other pressed and blown glass and glassware manufacturing,3.2,1.7
327213,Glass container manufacturing,4.7,2.6
327215,Glass product manufacturing made of purchased glass,4.1,2.3
3273,Cement and concrete product manufacturing,4.3,2.8
32731,Cement manufacturing,2.7,1
32732,Ready-mix concrete manufacturing,4.1,3.1
32733,"Concrete pipe, brick, and block manufacturing",4.4,2
327331,Concrete block and brick manufacturing,4,2.1
327332,Concrete pipe manufacturing,5.6,1.9
32739,Other concrete product manufacturing,5,3.2
32742,Gypsum product manufacturing,3.5,1.1
3279,Other nonmetallic mineral product manufacturing,4,2.4
32791,Abrasive product manufacturing,4.6,2.6
32799,All other nonmetallic mineral product manufacturing,3.9,2.4
327991,Cut stone and stone product manufacturing,4.8,3.1
327993,Mineral wool manufacturing,3.1,1.8
327999,All other miscellaneous nonmetallic mineral product manufacturing,3.3,2.1
331,Primary metal manufacturing,4.5,2.6
3311,Iron and steel mills and ferroalloy manufacturing,2.6,1.5
3312,Steel product manufacturing from purchased steel,5.4,2.8
33121,Iron and steel pipe and tube manufacturing from purchased steel,5,2.7
33122,Rolling and drawing of purchased steel,5.8,2.8
331221,Rolled steel shape manufacturing,5.4,2.7
331222,Steel wire drawing,6.7,3
3313,Alumina and aluminum production and processing,3.2,1.8
33131,Alumina and aluminum production and processing,3.2,1.8
331314,Secondary smelting and alloying of aluminum,5,2.8
331315,"Aluminum sheet, plate, and foil manufacturing",1.8,1.1
331318,"Other aluminum rolling, drawing, and extruding",3.7,2.2
3314,Nonferrous metal (except aluminum) production and processing,4.1,2.6
33141,Nonferrous metal (except aluminum) smelting and refining,4.5,3.7
33142,"Copper rolling, drawing, extruding, and alloying",4,2.5
33149,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding, and alloying",4.1,2.3
331491,"Nonferrous metal (except copper and aluminum) rolling, drawing, and extruding",3.9,2
331492,"Secondary smelting, refining, and alloying of nonferrous metal (except copper and aluminum)",4.4,2.7
3315,Foundries,6.1,3.7
33151,Ferrous metal foundries,6,3.2
331511,Iron foundries,6.1,3.2
331512,Steel investment foundries,4.4,3.1
331513,Steel foundries (except investment),6.9,3.2
33152,Nonferrous metal foundries,6.3,4.3
331523,Nonferrous metal die-casting foundries,5.3,3.5
331524,Aluminum foundries (except die-casting),7,4.4
331529,Other nonferrous metal foundries (except die-casting),7.8,6
332,Fabricated metal product manufacturing,4.4,2.2
3321,Forging and stamping,6,3.1
33211,Forging and stamping,6,3.1
332111,Iron and steel forging,6.8,4.2
332114,Custom roll forming,5.6,2.5
332117,Powder metallurgy part manufacturing,3.4,2.1
332119,"Metal crown, closure, and other metal stamping (except automotive)",6,2.6
3322,Cutlery and handtool manufacturing,4,2.2
33221,Cutlery and handtool manufacturing,4,2.2
332215,"Metal kitchen cookware, utensil, cutlery, and flatware (except precious) manufacturing",5.1,3.1
332216,Saw blade and handtool manufacturing,3.6,1.8
3323,Architectural and structural metals manufacturing,5.4,2.7
33231,Plate work and fabricated structural product manufacturing,5.6,2.7
332311,Prefabricated metal building and component manufacturing,6,3.2
332312,Fabricated structural metal manufacturing,5.4,2.4
332313,Plate work manufacturing,5.9,2.9
33232,Ornamental and architectural metal products manufacturing,5.3,2.8
332321,Metal window and door manufacturing,5.2,3.2
332322,Sheet metal work manufacturing,5.6,2.6
332323,Ornamental and architectural metal work manufacturing,4.6,2.6
3324,"Boiler, tank, and shipping container manufacturing",4.1,2
33241,Power boiler and heat exchanger manufacturing,3.5,1.6
33242,Metal tank (heavy gauge) manufacturing,3.9,1.7
33243,"Metal can, box, and other metal container (light gauge) manufacturing",4.7,2.7
332431,Metal can manufacturing,3.9,2.3
3325,Hardware manufacturing,4.7,2.4
3326,Spring and wire product manufacturing,4.8,2.8
33261,Spring and wire product manufacturing,4.8,2.8
332613,Spring manufacturing,4.7,2.8
332618,Other fabricated wire product manufacturing,4.8,2.9
3327,"Machine shops; turned product; and screw, nut, and bolt manufacturing",3.6,1.6
33271,Machine shops,3.6,1.5
33272,"Turned product and screw, nut, and bolt manufacturing",3.7,1.7
332721,Precision turned product manufacturing,4.1,1.7
332722,"Bolt, nut, screw, rivet, and washer manufacturing",3.4,1.7
3328,"Coating, engraving, heat treating, and allied activities",4.4,2.5
33281,"Coating, engraving, heat treating, and allied activities",4.4,2.5
332811,Metal heat treating,3,1.4
332812,"Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers",5.3,3.3
332813,"Electroplating, plating, polishing, anodizing, and coloring",4.1,2.2
3329,Other fabricated metal product manufacturing,3.3,1.7
33291,Metal valve manufacturing,2.5,1.4
332911,Industrial valve manufacturing,1.9,0.8
332912,Fluid power valve and hose fitting manufacturing,2.3,1.5
332913,Plumbing fixture fitting and trim manufacturing,3.2,2.2
332919,Other metal valve and pipe fitting manufacturing,3.5,1.8
33299,All other fabricated metal product manufacturing,3.7,1.8
332991,Ball and roller bearing manufacturing,3,1.8
332992,Small arms ammunition manufacturing,2.7,1.7
332993,Ammunition (except small arms) manufacturing,1.2,0.4
332994,"Small arms, ordnance, and ordnance accessories manufacturing",3,1.9
332996,Fabricated pipe and pipe fitting manufacturing,3,1.1
332999,All other miscellaneous fabricated metal product manufacturing,5,2.3
333,Machinery manufacturing,3.4,1.7
3331,"Agriculture, construction, and mining machinery manufacturing",3.4,1.7
33311,Agricultural implement manufacturing,4.8,2.5
333111,Farm machinery and equipment manufacturing,5,2.6
333112,Lawn and garden tractor and home lawn and garden equipment manufacturing,3.8,2.1
33312,Construction machinery manufacturing,4.3,2.1
33313,Mining and oil and gas field machinery manufacturing,1.4,0.7
333131,Mining machinery and equipment manufacturing,3.2,1.5
333132,Oil and gas field machinery and equipment manufacturing,1.1,0.6
3332,Industrial machinery manufacturing,2.9,1.4
33324,Industrial machinery manufacturing,2.9,1.4
333241,Food product machinery manufacturing,4.9,2.4
333242,Semiconductor machinery manufacturing,1.1,0.4
333243,"Sawmill, woodworking, and paper machinery manufacturing",3.7,1.4
333244,Printing machinery and equipment manufacturing,2,1.5
333249,Other industrial machinery manufacturing,2.7,1.3
3333,Commercial and service industry machinery manufacturing,2.5,1.2
33331,Commercial and service industry machinery manufacturing,2.5,1.2
333314,Optical instrument and lens manufacturing,1.1,0.6
333316,Photographic and photocopying equipment manufacturing,2.2,0.7
333318,Other commercial and service industry machinery manufacturing,3,1.5
3334,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",3.5,1.7
33341,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",3.5,1.7
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,4.9,2
333414,Heating equipment (except warm air furnaces) manufacturing,3.8,1.7
333415,Air-conditioning and warm air heating equip and commercial and industrial refrigeration equip manufacturing,2.9,1.6
3335,Metalworking machinery manufacturing,4.3,2
33351,Metalworking machinery manufacturing,4.3,2
333511,Industrial mold manufacturing,3.4,1.4
333514,"Special die and tool, die set, jig, and fixture manufacturing",4.5,2.1
333515,Cutting tool and machine tool accessory manufacturing,4,1.4
333517,Machine tool manufacturing,5.6,2.9
333519,Rolling mill and other metalworking machinery manufacturing,2.4,1.3
3336,"Engine, turbine, and power transmission equipment manufacturing",3,1.7
33361,"Engine, turbine, and power transmission equipment manufacturing",3,1.7
333611,Turbine and turbine generator set units manufacturing,3.1,2
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",3.7,1.7
333613,Mechanical power transmission equipment manufacturing,3.4,1.8
333618,Other engine equipment manufacturing,2.8,1.5
3339,Other general purpose machinery manufacturing,3.3,1.7
33391,Pump and compressor manufacturing,2.2,1.1
333911,Pump and pumping equipment manufacturing,2.1,1.1
333912,Air and gas compressor manufacturing,2.3,1.1
333913,Measuring and dispensing pump manufacturing,2.5,1.4
33392,Material handling equipment manufacturing,4.2,2.3
333921,Elevator and moving stairway manufacturing,3.2,2.2
333922,Conveyor and conveying equipment manufacturing,4.2,2.1
333923,"Overhead traveling crane, hoist, and monorail system manufacturing",5.9,3.1
333924,"Industrial truck, tractor, trailer, and stacker machinery manufacturing",3.7,2.1
33399,All other general purpose machinery manufacturing,3.2,1.6
333991,Power-driven handtool manufacturing,2.2,1.1
333992,Welding and soldering equipment manufacturing,2.1,0.7
333994,Industrial process furnace and oven manufacturing,1.6,1.3
333995,Fluid power cylinder and actuator manufacturing,6,3.3
333996,Fluid power pump and motor manufacturing,2.6,1.1
333999,All other miscellaneous general purpose machinery manufacturing,3.4,1.6
334,Computer and electronic product manufacturing,1.2,0.7
3341,Computer and peripheral equipment manufacturing,0.7,0.4
33411,Computer and peripheral equipment manufacturing,0.7,0.4
334111,Electronic computer manufacturing,0.7,0.4
334112,Computer storage device manufacturing,0.5,0.4
334118,Computer terminal and other computer peripheral equipment manufacturing,0.6,0.4
3342,Communications equipment manufacturing,1,0.6
33421,Telephone apparatus manufacturing,0.6,0.4
33422,Radio and television broadcasting and wireless communications equipment manufacturing,1.1,0.6
33429,Other communications equipment manufacturing,1.1,0.6
3343,Audio and video equipment manufacturing,1.1,0.7
3344,Semiconductor and other electronic component manufacturing,1.4,0.8
33441,Semiconductor and other electronic component manufacturing,1.4,0.8
334412,Bare printed circuit board manufacturing,1.2,0.8
334413,Semiconductor and related device manufacturing,1.2,0.5
334416,"Capacitor, resistor, coil, transformer, and other inductor manufacturing",2.7,1.7
334417,Electronic connector manufacturing,1.6,0.9
334418,Printed circuit assembly (electronic assembly) manufacturing,1,0.6
334419,Other electronic component manufacturing,2.4,1.7
3345,"Navigational, measuring, electromedical, and control instruments manufacturing",1.3,0.7
33451,"Navigational, measuring, electromedical, and control instruments manufacturing",1.3,0.7
334510,Electromedical and electrotherapeutic apparatus manufacturing,1,0.5
334511,"Search, detection, navigation, guidance, aeronautical, and nautical system and instrument manufacturing",1,0.5
334512,"Automatic environmental control manufacturing for residential, commercial, and appliance use",3.1,1.7
334513,"Instruments and related products manufacturing for measuring, displaying, and controlling industrial process variables",1.3,0.7
334514,Totalizing fluid meter and counting device manufacturing,2.1,1.3
334515,Instrument manufacturing for measuring and testing electricity and electrical signals,1,0.6
334516,Analytical laboratory instrument manufacturing,1.5,1
334517,Irradiation apparatus manufacturing,1.3,0.5
334519,Other measuring and controlling device manufacturing,1.8,0.9
3346,Manufacturing and reproducing magnetic and optical media,0.9,0.6
33461,Manufacturing and reproducing magnetic and optical media,0.9,0.6
334613,Blank magnetic and optical recording media manufacturing,1.2,0.4
334614,"Software and other prerecorded compact disc, tape, and record reproducing",0.8,0.7
335,"Electrical equipment, appliance, and component manufacturing",2.9,1.8
3351,Electric lighting equipment manufacturing,2.5,1.5
33511,Electric lamp bulb and part manufacturing,3.5,2.9
33512,Lighting fixture manufacturing,2.3,1.3
335121,Residential electric lighting fixture manufacturing,1.2,0.7
335122,"Commercial, industrial, and institutional electric lighting fixture manufacturing",2.5,1.5
335129,Other lighting equipment manufacturing,3.3,1.3
3352,Household appliance manufacturing,3,1.7
33521,Small electrical appliance manufacturing,2.5,1.2
33522,Major appliance manufacturing,3.1,1.8
335221,Household cooking appliance manufacturing,3.7,2
335222,Household refrigerator and home freezer manufacturing,3.6,2.2
3353,Electrical equipment manufacturing,3.1,1.9
33531,Electrical equipment manufacturing,3.1,1.9
335311,"Power, distribution, and specialty transformer manufacturing",4.9,2.6
335312,Motor and generator manufacturing,3.2,1.9
335313,Switchgear and switchboard apparatus manufacturing,3.5,2.6
335314,Relay and industrial control manufacturing,1.4,0.8
3359,Other electrical equipment and component manufacturing,2.8,1.8
33591,Battery manufacturing,3.5,2.6
33592,Communication and energy wire and cable manufacturing,2,1.1
335921,Fiber optic cable manufacturing,1.2,0.6
335929,Other communication and energy wire manufacturing,2.6,1.5
33593,Wiring device manufacturing,2.9,1.7
335931,Current-carrying wiring device manufacturing,2.6,1.5
335932,Noncurrent-carrying wiring device manufacturing,4.2,2.3
33599,All other electrical equipment and component manufacturing,2.7,1.7
335991,Carbon and graphite product manufacturing,3.2,1.8
335999,All other miscellaneous electrical equipment and component manufacturing,2.6,1.7
336,Transportation equipment manufacturing,4.4,2.5
