NAICS code,Industry,TRIR,DART
31152,Ice cream and frozen dessert manufacturing,4.6,3
3116,Animal slaughtering and processing,4,2.8
31161,Animal slaughtering and processing,4,2.8
311611,Animal (except poultry) slaughtering,5.1,3.6
311612,Meat processed from carcasses,4.2,3.1
311613,Rendering and meat byproduct processing,6.5,4.8
311615,Poultry processing,3.2,2.2
3117,Seafood product preparation and packaging,6.9,4.8
3118,Bakeries and tortilla manufacturing,4.3,3.4
31181,Bread and bakery product manufacturing,4.7,3.6
311812,Commercial bakeries,5.4,4
311813,"Frozen cakes, pies, and other pastries manufacturing",3.2,2.7
31182,"Cookie, cracker, and pasta manufacturing",3.6,2.7
311821,Cookie and cracker manufacturing,2.9,2.1
311824,"Dry pasta, dough, and flour mixes manufacturing from purchased flour",4.6,3.6
31183,Tortilla manufacturing,2.5,1.8
3119,Other food manufacturing,3.8,2.6
31191,Snack food manufacturing,3,2.2
311911,Roasted nuts and peanut butter manufacturing,2.9,2.1
311919,Other snack food manufacturing,3,2.2
31192,Coffee and tea manufacturing,2.7,1.9
31193,Flavoring syrup and concentrate manufacturing,3,2.7
31194,Seasoning and dressing manufacturing,4,2.8
311941,"Mayonnaise, dressing, and other prepared sauce manufacturing",3.4,2.2
311942,Spice and extract manufacturing,4.4,3.2
31199,All other food manufacturing,4.6,2.9
311991,Perishable prepared food manufacturing,5.1,3.4
311999,All other miscellaneous food manufacturing,3.9,2.2
312,Beverage and tobacco product manufacturing,4.3,2.9
3121,Beverage manufacturing,4.4,3
31211,Soft drink and ice manufacturing,5.4,4.1
312111,Soft drink manufacturing,6.1,4.8
312112,Bottled water manufacturing,3.3,2.1
312113,Ice manufacturing,1.7,0.5
31212,Breweries,3.5,1.8
31213,Wineries,4.2,2.7
31214,Distilleries,2.3,0.9
3122,Tobacco manufacturing,2.3,1.4
313,Textile mills,3,1.9
3131,"Fiber, yarn, and thread mills",2.9,1.8
3132,Fabric mills,2.8,1.7
31321,Broadwoven fabric mills,2.5,1.4
31322,Narrow fabric mills and schiffli machine embroidery,3.4,2.4
31323,Nonwoven fabric mills,2.7,1.8
31324,Knit fabric mills,3.5,2.1
3133,Textile and fabric finishing and fabric coating mills,3.3,2.2
31331,Textile and fabric finishing mills,3.4,2.3
314,Textile product mills,2.9,1.6
3141,Textile furnishings mills,2.7,1.5
31411,Carpet and rug mills,2.2,1.4
31412,Curtain and linen mills,3.7,1.7
3149,Other textile product mills,3.1,1.8
31491,Textile bag and canvas mills,3.6,2.2
31499,All other textile product mills,2.8,1.5
314994,"Rope, cordage, twine, tire cord, and tire fabric mills",3.6,1.5
314999,All other miscellaneous textile product mills,2.7,1.5
315,Apparel manufacturing,1.9,1.1
3151,Apparel knitting mills,1.9,1
31511,Hosiery and sock mills,1.8,1.1
3152,Cut and sew apparel manufacturing,1.9,1.2
31522,Men's and boys' cut and sew apparel manufacturing,2.4,1.6
31528,Other cut and sew apparel manufacturing,3,2.5
3159,Apparel accessories and other apparel manufacturing,1.7,0.7
316,Leather and allied product manufacturing,4.2,2.8
3161,Leather and hide tanning and finishing,9.3,7.1
3162,Footwear manufacturing,3.2,1.8
3169,Other leather and allied product manufacturing,3.4,2.2
31699,Other leather and allied product manufacturing,3.4,2.2
316998,All other leather good and allied product manufacturing,3.8,2.4
321,Wood product manufacturing,6.1,3.5
3211,Sawmills and wood preservation,5.5,2.9
32111,Sawmills and wood preservation,5.5,2.9
321113,Sawmills,5.6,2.9
321114,Wood preservation,4.6,2.7
3212,"Veneer, plywood, and engineered wood product manufacturing",6.2,3.6
32121,"Veneer, plywood, and engineered wood product manufacturing",6.2,3.6
321211,Hardwood veneer and plywood manufacturing,5.7,3.2
321212,Softwood veneer and plywood manufacturing,4.6,2.3
321213,Engineered wood member (except truss) manufacturing,4.8,2.8
321214,Truss manufacturing,7.7,4.6
321219,Reconstituted wood product manufacturing,5.7,3.2
3219,Other wood product manufacturing,6.4,3.8
32191,Millwork,5.4,3.2
321911,Wood window and door manufacturing,4.6,2.9
321912,"Cut stock, resawing lumber, and planing",5.4,3.1
321918,Other millwork (including flooring),6.6,3.7
32192,Wood container and pallet manufacturing,6.6,4
32199,All other wood product manufacturing,7.5,4.6
321991,Manufactured home (mobile home) manufacturing,6.8,4.2
321992,Prefabricated wood building manufacturing,13.8,7.8
321999,All other miscellaneous wood product manufacturing,4.1,2.7
322,Paper manufacturing,2.5,1.6
3221,"Pulp, paper, and paperboard mills",2.2,1.3
32212,Paper mills,2.3,1.3
322121,Paper (except newsprint) mills,2.4,1.4
322122,Newsprint mills,1.3,0.9
32213,Paperboard mills,2,1.3
3222,Converted paper product manufacturing,2.6,1.7
32221,Paperboard container manufacturing,2.6,1.7
322211,Corrugated and solid fiber box manufacturing,2.5,1.6
322212,Folding paperboard box manufacturing,2.5,1.6
322219,Other paperboard container manufacturing,3,2.2
32222,Paper bag and coated and treated paper manufacturing,2.9,1.8
32223,Stationery product manufacturing,3.5,2.5
32229,Other converted paper product manufacturing,2.1,1.3
322291,Sanitary paper product manufacturing,1.5,1.1
322299,All other converted paper product manufacturing,2.9,1.8
323,Printing and related support activities,2.6,1.4
3231,Printing and related support activities,2.6,1.4
32311,Printing,2.5,1.4
323111,Commercial printing (except screen and books),2.7,1.5
