NAICS code,Industry,TRIR,DART
336212,Truck trailer manufacturing,7.6,3.5
336213,Motor home manufacturing,5.3,3.4
336214,Travel trailer and camper manufacturing,7.1,3.6
3363,Motor vehicle parts manufacturing,3.4,2
33631,Motor vehicle gasoline engine and engine parts manufacturing,3.3,2.2
33632,Motor vehicle electrical and electronic equipment manufacturing,2.1,1.3
33633,Motor vehicle steering and suspension components (except spring) manufacturing,2.9,1.7
33634,Motor vehicle brake system manufacturing,2.7,1.5
33635,Motor vehicle transmission and power train parts manufacturing,2.3,1.3
33636,Motor vehicle seating and interior trim manufacturing,3.5,2.2
33637,Motor vehicle metal stamping,5.9,3
33639,Other motor vehicle parts manufacturing,3.1,2
3364,Aerospace product and parts manufacturing,2,1.2
33641,Aerospace product and parts manufacturing,2,1.2
336411,Aircraft manufacturing,2.4,1.5
336412,Aircraft engine and engine parts manufacturing,1.9,0.9
336413,Other aircraft parts and auxiliary equipment manufacturing,2.4,1.3
336414,Guided missile and space vehicle manufacturing,0.7,0.4
336419,Other guided missile and space vehicle parts and auxiliary equipment manufacturing,1.5,0.9
3365,Railroad rolling stock manufacturing,3.4,2.2
3366,Ship and boat building,4.9,2.9
33661,Ship and boat building,4.9,2.9
336611,Ship building and repairing,5.1,3
336612,Boat building,4.4,2.7
3369,Other transportation equipment manufacturing,2.3,1.2
33699,Other transportation equipment manufacturing,2.3,1.2
336991,"Motorcycle, bicycle, and parts manufacturing",2.7,1.5
336992,"Military armored vehicle, tank, and tank component manufacturing",2,1.2
336999,All other transportation equipment manufacturing,2.2,1
337,Furniture and related product manufacturing,4.2,2.5
3371,Household and institutional furniture and kitchen cabinet manufacturing,4.4,2.6
33711,Wood kitchen cabinet and countertop manufacturing,4.2,2.6
33712,Household and institutional furniture manufacturing,4.5,2.7
337121,Upholstered household furniture manufacturing,4.9,2.9
337122,Nonupholstered wood household furniture manufacturing,5,3.1
337124,Metal household furniture manufacturing,3.9,2.1
337125,Household furniture (except wood and metal) manufacturing,5.2,2.7
337127,Institutional furniture manufacturing,3,1.6
3372,Office furniture (including fixtures) manufacturing,3.9,2.2
33721,Office furniture (including fixtures) manufacturing,3.9,2.2
337211,Wood office furniture manufacturing,5,3.1
337212,Custom architectural woodwork and millwork manufacturing,3.8,2.1
337214,Office furniture (except wood) manufacturing,2.8,1.6
337215,"Showcase, partition, shelving, and locker manufacturing",4,2.2
3379,Other furniture related product manufacturing,3.8,2.1
33791,Mattress manufacturing,3.9,1.9
339,Miscellaneous manufacturing,2.3,1.3
3391,Medical equipment and supplies manufacturing,1.8,1.1
33911,Medical equipment and supplies manufacturing,1.8,1.1
339112,Surgical and medical instrument manufacturing,1.8,1.1
339113,Surgical appliance and supplies manufacturing,1.9,1.2
339114,Dental equipment and supplies manufacturing,2.3,0.9
339115,Ophthalmic goods manufacturing,2,1.2
339116,Dental laboratories,1.3,0.8
3399,Other miscellaneous manufacturing,2.8,1.6
33991,Jewelry and silverware manufacturing,1.5,1
33992,Sporting and athletic goods manufacturing,2.9,1.7
33993,"Doll, toy, and game manufacturing",3.2,1.4
33994,Office supplies (except paper) manufacturing,5.2,3.1
33995,Sign manufacturing,2.6,1.6
33999,All other miscellaneous manufacturing,2.8,1.5
339991,"Gasket, packing, and sealing device manufacturing",2.9,1.7
339992,Musical instrument manufacturing,6.1,3.5
339993,"Fastener, button, needle, and pin manufacturing",2.6,1.6
339994,"Broom, brush, and mop manufacturing",3.2,1.6
339999,All other miscellaneous manufacturing,2.2,1.1
42,Wholesale trade,2.7,1.8
423,"Merchant wholesalers, durable goods",2.4,1.5
4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,3.9,2.4
4232,Furniture and home furnishing merchant wholesalers,2.3,1.6
4233,Lumber and other construction materials merchant wholesalers,4.5,2.9
4234,Professional and commercial equipment and supplies merchant wholesalers,1.4,0.7
4235,Metal and mineral (except petroleum) merchant wholesalers,3.7,2.3
4236,Household appliances and electrical and electronic goods merchant wholesalers,1.4,0.9
4237,"Hardware, and plumbing and heating equipment and supplies merchant wholesalers",2.6,1.7
4238,"Machinery, equipment, and supplies merchant wholesalers",2.2,1.4
4239,Miscellaneous durable goods merchant wholesalers,2.2,1.4
42391,Sporting and recreational goods and supplies merchant wholesalers,2.5,1.8
42393,Recyclable material merchant wholesalers,3.3,1.9
42394,"Jewelry, watch, precious stone, and precious metal merchant wholesalers",0.4,0.2
42399,Other miscellaneous durable goods merchant wholesalers,1.4,1
424,"Merchant wholesalers, nondurable goods",3.4,2.5
4242,Drugs and druggists' sundries merchant wholesalers,1.2,0.9
4243,"Apparel, piece goods, and notions merchant wholesalers",1.3,0.9
4244,Grocery and related product merchant wholesalers,4.8,3.7
4245,Farm product raw material merchant wholesalers,2.1,1.2
4246,Chemical and allied products merchant wholesalers,1.6,1.1
4247,Petroleum and petroleum products merchant wholesalers,2,1.2
4248,"Beer, wine, and distilled alcoholic beverage merchant wholesalers",5.2,3.9
4249,Miscellaneous nondurable goods merchant wholesalers,3.4,2.3
44-45,Retail trade,3.4,2
441,Motor vehicle and parts dealers,3,1.6
4411,Automobile dealers,2.9,1.4
44111,New car dealers,3,1.4
44112,Used car dealers,2,1.2
4412,Other motor vehicle dealers,2.4,1.2
44121,Recreational vehicle dealers,3.3,1.6
44122,"Motorcycle, boat, and other motor vehicle dealers",2,0.9
4413,"Automotive parts, accessories, and tire stores",3.6,2.4
44131,Automotive parts and accessories stores,3.4,2.5
44132,Tire dealers,3.9,2.3
442,Furniture and home furnishings stores,3.2,2
4421,Furniture stores,2.7,1.8
4422,Home furnishings stores,3.9,2.3
44221,Floor covering stores,1.9,1
44229,Other home furnishings stores,5.2,3.2
443,Electronics and appliance stores,1.1,0.6
4431,Electronics and appliance stores,1.1,0.6
44314,Electronics and appliance stores,1.1,0.6
443141,Household appliance stores,3.1,2.4
443142,Electronics stores,0.8,0.4
444,Building material and garden equipment and supplies dealers,4.9,3.3
4441,Building material and supplies dealers,4.9,3.3
44411,Home centers,5.7,4.1
44412,Paint and wallpaper stores,1.8,1.7
44413,Hardware stores,4.3,1.9
44419,Other building material dealers,3.6,2.2
4442,Lawn and garden equipment and supplies stores,4.6,3.1
44421,Outdoor power equipment stores,5.3,2.5
44422,"Nursery, garden center, and farm supply stores",4.4,3.2
445,Food and beverage stores,4.1,2.6
4451,Grocery stores,4.5,2.8
44511,Supermarkets and other grocery (except convenience) stores,4.6,2.9
44512,Convenience stores,0,1
4452,Specialty food stores,0,0.9
44521,Meat markets,1.8,0.8
44523,Fruit and vegetable markets,1.7,1.4
44529,Other specialty food stores,0,0.8
4453,"Beer, wine, and liquor stores",1.3,0.8
446,Health and personal care stores,1.8,1
4461,Health and personal care stores,1.8,1
44611,Pharmacies and drug stores,2.2,1.3
44612,"Cosmetics, beauty supplies, and perfume stores",1.2,0.4
44619,Other health and personal care stores,0.8,0.2
447,Gasoline stations,2.2,1.1
4471,Gasoline stations,2.2,1.1
44711,Gasoline stations with convenience stores,2.2,1.1
44719,Other gasoline stations,2.4,1.2
448,Clothing and clothing accessories stores,1.6,0.6
4481,Clothing stores,1.9,0.8
44811,Men's clothing stores,0.8,0.3
44812,Women's clothing stores,1.9,0.4
44813,Children's and infants' clothing stores,1.1,0.2
44814,Family clothing stores,2.4,1.2
44819,Other clothing stores,1.9,0.7
4482,Shoe stores,1.1,0.4
451,"Sporting goods, hobby, musical instrument, and book stores",2.5,1.3
4511,"Sporting goods, hobby, and musical instrument stores",2.7,1.3
45111,Sporting goods stores,2.3,1.4
45112,"Hobby, toy, and game stores",0,1.2
45113,"Sewing, needlework, and piece goods stores",3.6,2.5
4512,Book stores and news dealers,1.4,0.8
45121,Book stores and news dealers,1.4,0.8
451211,Book stores,1.5,0.9
452,General merchandise stores,4.6,2.8
4522,Department stores,3.7,2.1
4523,"General merchandise stores, including warehouse clubs and supercenters",5,3.1
45231,"General merchandise stores, including warehouse clubs and supercenters",5,3.1
452311,Warehouse clubs and supercenters,5.1,3.2
452319,All other general merchandise stores,4.4,2.7
453,Miscellaneous store retailers,3.2,1.9
4531,Florists,1.3,1.1
4532,"Office supplies, stationery, and gift stores",0,0
45321,Office supplies and stationery stores,2.3,1.4
45322,"Gift, novelty, and souvenir stores",0,1.1
4533,Used merchandise stores,4.7,3.3
4539,Other miscellaneous store retailers,3.5,1.8
45391,Pet and pet supplies stores,6.8,2.7
45393,Manufactured (mobile) home dealers,1.9,0.4
454,Nonstore retailers,2.2,1.3
4541,Electronic shopping and mail-order houses,1.7,0.9
4543,Direct selling establishments,0,0
45431,Fuel dealers,0,2.8
45439,Other direct selling establishments,1.8,1.3
48-49,Transportation and warehousing,4.4,3.2
481,Air transportation,6.5,5.3
4811,Scheduled air transportation,7,5.8
48111,Scheduled air transportation,7,5.8
481111,Scheduled passenger air transportation,7.1,5.9
4812,Nonscheduled air transportation,1.9,1.1
482,Rail transportation,2,1.5
483,Water transportation,0,0
4831,"Deep sea, coastal, and great lakes water transportation",0,0
48311,"Deep sea, coastal, and great lakes water transportation",0,0
483112,Deep sea passenger transportation,6.7,1.3
483113,Coastal and great lakes freight transportation,2.2,1.7
484,Truck transportation,3.6,2.6
4841,General freight trucking,3.7,2.7
48411,"General freight trucking, local",3.3,2.4
48412,"General freight trucking, long-distance",3.9,2.7
4842,Specialized freight trucking,3.3,2.4
48421,Used household and office goods moving,4.7,3.4
48422,"Specialized freight (except used goods) trucking, local",3.1,2.4
48423,"Specialized freight (except used goods) trucking, long-distance",2.7,1.8
485,Transit and ground passenger transportation,3.6,2.3
4851,Urban transit systems,6.5,4.7
4852,Interurban and rural bus transportation,6.5,3.4
4853,Taxi and limousine service,1.7,1.1
48532,Limousine service,1.3,1
4854,School and employee bus transportation,3.2,1.9
4855,Charter bus industry,2,1.6
4859,Other transit and ground passenger transportation,3.8,2.5
486,Pipeline transportation,0.8,0.5
4861,Pipeline transportation of crude oil,0.8,0.8
4862,Pipeline transportation of natural gas,0.9,0.5
4869,Other pipeline transportation,0.2,0
487,Scenic and sightseeing transportation,3.3,2.1
4871,"Scenic and sightseeing transportation, land",3.5,2.7
4872,"Scenic and sightseeing transportation, water",3.1,1.7
488,Support activities for transportation,3.2,2
4881,Support activities for air transportation,4.3,2.3
4882,Support activities for rail transportation,2.1,1.7
4883,Support activities for water transportation,4.6,3.1
48832,Marine cargo handling,5.2,3.5
48833,Navigational services to shipping,1.8,1
4884,Support activities for road transportation,2.8,1.9
48841,Motor vehicle towing,2.9,1.8
48849,Other support activities for road transportation,2.4,2.1
4889,Other support activities for transportation,0,3.5
492,Couriers and messengers,8.1,6.1
4921,Couriers and express delivery services,8.8,6.5
493,Warehousing and storage,4.8,3.7
4931,Warehousing and storage,4.8,3.7
49311,General warehousing and storage,4.9,3.7
49312,Refrigerated warehousing and storage,5.5,4.5
49313,Farm product warehousing and storage,3.5,2.9
49319,Other warehousing and storage,2.8,2
22,Utilities,2.2,1.2
221,Utilities,2.2,1.2
2211,"Electric power generation, transmission and distribution",1.8,0.9
22111,Electric power generation,1.1,0.6
221111,Hydroelectric power generation,2.6,1.7
221112,Fossil fuel electric power generation,1.4,0.8
221113,Nuclear electric power generation,0.2,0.1
221114,Solar electric power generation,0.5,0.5
22112,"Electric power transmission, control, and distribution",2.3,1.1
2212,Natural gas distribution,2.3,1.4
2213,"Water, sewage and other systems",5.3,3.1
22131,Water supply and irrigation systems,5.1,3.5
51,Information,1.2,0.7
511,Publishing industries (except internet),0.6,0.3
5111,"Newspaper, periodical, book, and directory publishers",1.2,0.7
51111,Newspaper publishers,1.9,1.3
51112,Periodical publishers,0.2,0.1
51113,Book publishers,1,0.3
51119,Other publishers,2.2,0.8
5112,Software publishers,0.2,0.1
512,Motion picture and sound recording industries,1.7,0.6
5121,Motion picture and video industries,1.8,0.6
51212,Motion picture and video distribution,1.9,1.2
51213,Motion picture and video exhibition,4,1.2
515,Broadcasting (except internet),1.1,0.4
5151,Radio and television broadcasting,1,0.3
51511,Radio broadcasting,0.4,0.1
51512,Television broadcasting,1.4,0.3
5152,Cable and other subscription programming,1.2,0.7
517,Telecommunications,2.3,1.7
5173,Wired and wireless telecommunications carriers,2.4,1.8
51731,Wired and wireless telecommunications carriers,2.4,1.8
517311,Wired telecommunications carriers,2.8,2.1
517312,Wireless telecommunications carriers (except satellite),0.9,0.7
519,Other information services,0.3,0.1
5191,Other information services,0.3,0.1
51912,Libraries and archives,1.5,0.5
51913,Internet publishing and broadcasting and web search portals,0.2,0
51919,All other information services,0.2,0
52,Finance and insurance,0.5,0.2
522,Credit intermediation and related activities,0.5,0.2
5221,Depository credit intermediation,0.6,0.2
52211,Commercial banking,0.6,0.2
52212,Savings institutions,0.9,0.1
52213,Credit unions,0.7,0.3
5222,Nondepository credit intermediation,0.4,0.2
52221,Credit card issuing,0.3,0.1
52222,Sales financing,0.4,0.2
52229,Other nondepository credit intermediation,0.4,0.2
5223,Activities related to credit intermediation,0.3,0.1
52232,"Financial transactions processing, reserve, and clearinghouse activities",0.4,0.2
523,"Securities, commodity contracts, and other financial investments and related activities",0,0
5231,Securities and commodity contracts intermediation and brokerage,0.2,0
52312,Securities brokerage,0.2,0
5239,Other financial investment activities,0.1,0
52391,Miscellaneous intermediation,0,0
52392,Portfolio management,0.1,0
52393,Investment advice,0.1,0
524,Insurance carriers and related activities,0.5,0.2
5241,Insurance carriers,0.5,0.2
52411,"Direct life, health, and medical insurance carriers",0.5,0.2
52412,"Direct insurance (except life, health, and medical) carriers",0.6,0.2
52413,Reinsurance carriers,0.2,0
5242,"Agencies, brokerages, and other insurance related activities",0.4,0.2
52421,Insurance agencies and brokerages,0,0.2
52429,Other insurance related activities,0.6,0.2
525,"Funds, trusts, and other financial vehicles",0,0
5251,Insurance and employee benefit funds,0,0
5259,Other investment pools and funds,0,0
53,Real estate and rental and leasing,2.3,1.1
531,Real estate,2.1,1
5311,Lessors of real estate,2.7,1.1
53111,Lessors of residential buildings and dwellings,3,1.3
53112,Lessors of nonresidential buildings (except miniwarehouses),0,0.6
53113,Lessors of miniwarehouses and self-storage units,2.6,1.7
53119,Lessors of other real estate property,1.3,1.1
5312,Offices of real estate agents and brokers,0.6,0.2
5313,Activities related to real estate,2.4,1.2
53131,Real estate property managers,2.7,1.4
53139,Other activities related to real estate,0.2,0
532,Rental and leasing services,2.8,1.5
5321,Automotive equipment rental and leasing,3,1.6
53211,Passenger car rental and leasing,0,1.6
53212,"Truck, utility trailer, and RV (recreational vehicle) rental and leasing",2.6,1.7
5322,Consumer goods rental,0,0
53228,Other consumer goods rental,0,2.2
532283,Home health equipment rental,3.2,2.2
5323,General rental centers,0,1.1
5324,Commercial and industrial machinery and equipment rental and leasing,1.8,0.9
53241,"Construction, transportation, mining, and forestry machinery and equipment rental and leasing",1.5,0.8
53249,Other commercial and industrial machinery and equipment rental and leasing,2.2,1
54,"Professional, scientific, and technical services",0.8,0.3
541,"Professional, scientific, and technical services",0.8,0.3
5411,Legal services,0.2,0.1
5412,"Accounting, tax preparation, bookkeeping, and payroll services",0.3,0.1
54121,"Accounting, tax preparation, bookkeeping, and payroll services",0.3,0.1
541211,Offices of certified public accountants,0.1,0
541219,Other accounting services,0.4,0.1
5413,"Architectural, engineering, and related services",0.7,0.3
54131,Architectural services,0.2,0
54132,Landscape architectural services,1.3,1.1
54134,Drafting services,0,0
54138,Testing laboratories,1,0.4
5414,Specialized design services,0.6,0.2
5415,Computer systems design and related services,0.2,0.1
54151,Computer systems design and related services,0.2,0.1
541511,Custom computer programming services,0.2,0.1
541512,Computer systems design services,0,0.1
541513,Computer facilities management services,0.5,0.2
541519,Other computer related services,0.7,0.6
5416,"Management, scientific, and technical consulting services",0,0
54162,Environmental consulting services,1,0.5
54169,Other scientific and technical consulting services,0.4,0.3
5418,"Advertising, public relations, and related services",0.9,0.6
5419,"Other professional, scientific, and technical services",6,1.6
54192,Photographic services,0.2,0.1
54193,Translation and interpretation services,1.8,1.2
54194,Veterinary services,10.7,2.7
54199,"All other professional, scientific, and technical services",0.3,0.1
55,Management of companies and enterprises,0.7,0.3
56,Administrative and support and waste management and remediation services,0,0
561,Administrative and support services,0,0
5612,Facilities support services,3,1.8
5613,Employment services,1.2,0.5
56131,Employment placement agencies and executive search services,0.6,0.2
56132,Temporary help services,1.3,0.6
56133,Professional employer organizations,1.4,0.8
5614,Business support services,0.8,0.4
56142,Telephone call centers,0.7,0.3
56144,Collection agencies,0.3,0.1
5615,Travel arrangement and reservation services,1,0.6
56151,Travel agencies,0.2,0.1
56159,Other travel arrangement and reservation services,1.7,1
5616,Investigation and security services,2.1,0.9
56161,"Investigation, guard, and armored car services",2.1,0.9
561611,Investigation services,1.4,0.8
561612,Security guards and patrol services,1.8,0.9
561613,Armored car services,8.8,1.6
56162,Security systems services,1.7,0.8
5617,Services to buildings and dwellings,3.5,2.2
56171,Exterminating and pest control services,3.9,2.8
56172,Janitorial services,3,1.8
56173,Landscaping services,3.9,2.5
56174,Carpet and upholstery cleaning services,2.8,1.7
56179,Other services to buildings and dwellings,0,1.8
5619,Other support services,2.8,1.6
562,Waste management and remediation services,4.2,3.1
5621,Waste collection,5.5,4.1
56211,Waste collection,5.5,4.1
562111,Solid waste collection,5.8,4.4
562112,Hazardous waste collection,3.9,2.6
5622,Waste treatment and disposal,4,3
56221,Waste treatment and disposal,4,3
562211,Hazardous waste treatment and disposal,2.2,1.4
562212,Solid waste landfill,4.9,3.6
5629,Remediation and other waste management services,2.8,1.9
56291,Remediation services,1.9,1.2
56292,Materials recovery facilities,3.6,2.8
56299,All other waste management services,4.2,2.7
61,Educational services,2,0.9
611,Educational services,2,0.9
6111,Elementary and secondary schools,2.8,1.2
6113,"Colleges, universities, and professional schools",1.6,0.7
6114,Business schools and computer and management training,0.7,0.3
61143,Professional and management development training,1,0.3
6116,Other schools and instruction,1,0.7
61161,Fine arts schools,0.1,0.1
61162,Sports and recreation instruction,0.9,0.5
61169,All other schools and instruction,1.6,1.2
62,Health care and social assistance,3.8,1.7
621,Ambulatory health care services,2.3,0.8
6211,Offices of physicians,1.6,0.4
62111,Offices of physicians,1.6,0.4
621111,Offices of physicians (except mental health specialists),1.6,0.4
621112,"Offices of physicians, mental health specialists",1.2,0.6
6212,Offices of dentists,2,0.1
6213,Offices of other health practitioners,1.2,0.6
6214,Outpatient care centers,3.9,1.3
6215,Medical and diagnostic laboratories,2,0.5
6216,Home health care services,2.4,1.3
6219,Other ambulatory health care services,6,3.1
62191,Ambulance services,7.9,4.5
62199,All other ambulatory health care services,0,1.6
622,Hospitals,5.5,2.2
6221,General medical and surgical hospitals,5.5,2.2
6222,Psychiatric and substance abuse hospitals,7.2,4.1
6223,Specialty (except psychiatric and substance abuse) hospitals,4.8,2.6
623,Nursing and residential care facilities,5.9,3.5
6231,Nursing care facilities (skilled nursing facilities),6,3.7
6232,"Residential intellectual and developmental disability, mental health, and substance abuse facilities",5.4,2.8
6233,Continuing care retirement communities and assisted living facilities for the elderly,6.1,3.6
6239,Other residential care facilities,6.4,3.3
624,Social assistance,2.8,1.5
6241,Individual and family services,2.7,1.4
62411,Child and youth services,2.5,1.1
62412,Services for the elderly and persons with disabilities,2.8,1.6
62419,Other individual and family services,2.6,1.3
6242,"Community food and housing, and emergency and other relief services",3,1.4
62421,Community food services,3.9,1.9
62422,Community housing services,2.7,1.2
6243,Vocational rehabilitation services,4.8,2.8
6244,Child day care services,2.2,1.1
71,"Arts, entertainment, and recreation",4,2.2
711,"Performing arts, spectator sports, and related industries",6,3.3
7111,Performing arts companies,7.2,3.6
7112,Spectator sports,11.6,6.8
71121,Spectator sports,11.6,6.8
711212,Racetracks,3.1,1.7
7113,"Promoters of performing arts, sports, and similar events",3,1.2
7114,"Agents and managers for artists, athletes, entertainers, and other public figures",0.7,0.3
7115,"Independent artists, writers, and performers",1.2,1
712,"Museums, historical sites, and similar institutions",4,2
713,"Amusement, gambling, and recreation industries",3.3,1.9
7131,Amusement parks and arcades,6.5,4.6
71311,Amusement and theme parks,6.7,5
7132,Gambling industries,2.8,1.7
7139,Other amusement and recreation industries,2.9,1.5
71391,Golf courses and country clubs,4.2,2.1
71392,Skiing facilities,8.5,5.2
71393,Marinas,1.4,0.8
71394,Fitness and recreational sports centers,1.9,0.9
71395,Bowling centers,1.5,0.6
71399,All other amusement and recreation industries,2.3,1.2
72,Accommodation and food services,3.2,1.4
721,Accommodation,4.3,2.5
7211,Traveler accommodation,4.3,2.6
72111,Hotels (except casino hotels) and motels,4.5,2.6
72112,Casino hotels,3.8,2.3
72119,Other traveler accommodation,3.2,1.7
7212,RV (recreational vehicle) parks and recreational camps,0,2.6
72121,RV (recreational vehicle) parks and recreational camps,0,2.6
721211,RV (recreational vehicle) parks and campgrounds,1.7,1.3
721214,Recreational and vacation camps (except campgrounds),0,3.8
722,Food services and drinking places,3,1.2
7223,Special food services,3.3,1.9
7224,Drinking places (alcoholic beverages),0.9,0.5
7225,Restaurants and other eating places,3,1.2
72251,Restaurants and other eating places,3,1.2
722511,Full-service restaurants,2.7,1.1
722513,Limited-service restaurants,3.1,1.3
722514,"Cafeterias, grill buffets, and buffets",2.7,1
722515,Snack and nonalcoholic beverage bars,5.1,1.2
81,Other services (except public administration),2,1.1
811,Repair and maintenance,2,1.1
8111,Automotive repair and maintenance,1.9,0.9
8112,Electronic and precision equipment repair and maintenance,1.1,0.7
812,Personal and laundry services,2.1,1.3
8121,Personal care services,0,0.4
8123,Drycleaning and laundry services,3.3,2.3
81231,Coin-operated laundries and drycleaners,0.2,0.1
81232,Drycleaning and laundry services (except coin-operated),0,1.1
81233,Linen and uniform supply,4.9,3.6
812331,Linen supply,4.1,2.9
812332,Industrial launderers,5.7,4.3
8129,Other personal services,0,0
81293,Parking lots and garages,2.5,1.6
81299,All other personal services,0.6,0.3
813,"Religious, grantmaking, civic, professional, and similar organizations",1.7,0.8
61,Educational services,1.8,0.8
611,Educational services,1.8,0.8
6113,"Colleges, universities, and professional schools",1.7,0.8
62,Health care and social assistance,7.3,4.3
622,Hospitals,8.1,4.7
623,Nursing and residential care facilities,11.5,7.3
92,Public administration,3.6,2.1
922,"Justice, public order, and safety activities",5.4,3.2
9221,"Justice, public order, and safety activities",5.4,3.2
92214,Correctional institutions,6.8,4.3
22,Utilities,5.1,2.7
221,Utilities,5.1,2.7
2213,"Water, sewage and other systems",5.5,2.8
61,Educational services,4.2,1.6
611,Educational services,4.2,1.6
6111,Elementary and secondary schools,4.4,1.6
62,Health care and social assistance,4.9,1.9
622,Hospitals,5.3,1.9
623,Nursing and residential care facilities,7.6,4.6
92,Public administration,6.2,3.1
