NAICS code,caption,trir,dart
311511,Fluid milk manufacturing,4.6,3.4
311512,Creamery butter manufacturing,7.0,5.7
311513,Cheese manufacturing,5.2,3.6
311514,"Dry, condensed, and evaporated dairy product manufacturing",3.4,2.2
31152,Ice cream and frozen dessert manufacturing,5.8,3.3
3116,Animal slaughtering and processing,4.8,3.5
31161,Animal slaughtering and processing,4.8,3.5
311611,Animal (except poultry) slaughtering,6.4,4.6
311612,Meat processed from carcasses,4.8,3.6
311613,Rendering and meat byproduct processing,6.8,5.0
311615,Poultry processing,3.8,2.7
3117,Seafood product preparation and packaging,7.0,4.6
3118,Bakeries and tortilla manufacturing,3.7,2.5
31181,Bread and bakery product manufacturing,3.8,2.5
311811,Retail bakeries,1.7,1.1
311812,Commercial bakeries,4.7,3.1
311813,"Frozen cakes, pies, and other pastries manufacturing",3.6,2.7
31182,"Cookie, cracker, and pasta manufacturing",3.6,2.3
311821,Cookie and cracker manufacturing,3.1,1.8
311824,"Dry pasta, dough, and flour mixes manufacturing from purchased flour",4.5,3.0
31183,Tortilla manufacturing,3.5,2.6
3119,Other food manufacturing,4.3,2.9
31191,Snack food manufacturing,4.7,3.0
311911,Roasted nuts and peanut butter manufacturing,7.3,4.0
311919,Other snack food manufacturing,3.8,2.7
31192,Coffee and tea manufacturing,3.4,1.9
31193,Flavoring syrup and concentrate manufacturing,1.6,0.9
31194,Seasoning and dressing manufacturing,3.2,2.4
311941,"Mayonnaise, dressing, and other prepared sauce manufacturing",2.4,1.6
311942,Spice and extract manufacturing,3.7,2.9
31199,All other food manufacturing,5.2,3.5
311991,Perishable prepared food manufacturing,5.9,4.2
311999,All other miscellaneous food manufacturing,4.1,2.5
312,Beverage and tobacco product manufacturing,5.0,3.3
3121,Beverage manufacturing,5.2,3.4
31211,Soft drink and ice manufacturing,6.4,4.7
312111,Soft drink manufacturing,6.6,4.7
312112,Bottled water manufacturing,5.9,4.6
312113,Ice manufacturing,5.2,4.1
31212,Breweries,3.1,1.4
31213,Wineries,0,3.0
31214,Distilleries,3.4,2.1
3122,Tobacco manufacturing,2.7,1.9
313,Textile mills,3.1,1.7
3131,"Fiber, yarn, and thread mills",3.0,1.4
3132,Fabric mills,3.3,1.7
31321,Broadwoven fabric mills,2.7,1.4
31323,Nonwoven fabric mills,3.3,1.9
31324,Knit fabric mills,3.7,2.1
3133,Textile and fabric finishing and fabric coating mills,2.8,1.8
31331,Textile and fabric finishing mills,2.1,1.4
31332,Fabric coating mills,4.8,3.1
314,Textile product mills,2.8,1.7
3141,Textile furnishings mills,3.0,1.9
31411,Carpet and rug mills,2.5,1.6
31412,Curtain and linen mills,4.0,2.4
3149,Other textile product mills,2.6,1.5
31491,Textile bag and canvas mills,3.5,2.2
31499,All other textile product mills,2.2,1.1
315,Apparel manufacturing,2.4,1.4
3151,Apparel knitting mills,2.5,1.5
31511,Hosiery and sock mills,2.8,1.8
31519,Other apparel knitting mills,2.0,1.0
3152,Cut and sew apparel manufacturing,2.3,1.3
31521,Cut and sew apparel contractors,1.1,0.6
31522,Mens and boys cut and sew apparel manufacturing,2.9,1.6
31528,Other cut and sew apparel manufacturing,3.3,2.0
3159,Apparel accessories and other apparel manufacturing,2.9,2.1
316,Leather and allied product manufacturing,3.6,2.3
3161,Leather and hide tanning and finishing,5.2,3.3
3162,Footwear manufacturing,4.2,2.6
3169,Other leather and allied product manufacturing,2.2,1.4
31699,Other leather and allied product manufacturing,2.2,1.4
316992,Womens handbag and purse manufacturing,3.7,0
316998,All other leather good and allied product manufacturing,2.0,1.5
321,Wood product manufacturing,5.6,3.2
3211,Sawmills and wood preservation,5.6,3.3
32111,Sawmills and wood preservation,5.6,3.3
321113,Sawmills,5.9,3.5
321114,Wood preservation,2.2,1.3
3212,"Veneer, plywood, and engineered wood product manufacturing",4.9,3.2
32121,"Veneer, plywood, and engineered wood product manufacturing",4.9,3.2
321211,Hardwood veneer and plywood manufacturing,5.4,3.8
321212,Softwood veneer and plywood manufacturing,3.2,1.8
321213,Engineered wood member (except truss) manufacturing,4.9,3.4
321214,Truss manufacturing,6.5,4.3
321219,Reconstituted wood product manufacturing,2.3,1.3
3219,Other wood product manufacturing,5.9,3.2
32191,Millwork,4.4,2.5
321911,Wood window and door manufacturing,4.1,2.3
321912,"Cut stock, resawing lumber, and planing",5.4,3.5
321918,Other millwork (including flooring),4.3,2.4
32192,Wood container and pallet manufacturing,8.3,4.1
32199,All other wood product manufacturing,6.4,3.6
321991,Manufactured home (mobile home) manufacturing,8.2,4.2
321992,Prefabricated wood building manufacturing,5.6,2.9
321999,All other miscellaneous wood product manufacturing,5.0,3.3
322,Paper manufacturing,2.5,1.5
3221,"Pulp, paper, and paperboard mills",1.9,1.1
32211,Pulp mills,1.5,0.8
32212,Paper mills,1.9,1.1
322121,Paper (except newsprint) mills,1.9,1.1
322122,Newsprint mills,2.3,0.9
32213,Paperboard mills,2.0,1.2
3222,Converted paper product manufacturing,2.8,1.7
32221,Paperboard container manufacturing,2.8,1.7
322211,Corrugated and solid fiber box manufacturing,2.7,1.6
322212,Folding paperboard box manufacturing,2.6,1.8
32222,Paper bag and coated and treated paper manufacturing,3.2,2.1
32223,Stationery product manufacturing,3.6,2.2
32229,Other converted paper product manufacturing,1.9,1.0
322299,All other converted paper product manufacturing,3.0,1.5
323,Printing and related support activities,2.2,1.3
3231,Printing and related support activities,2.2,1.3
32311,Printing,2.2,1.2
323111,Commercial printing (except screen and books),2.3,1.2
323113,Commercial screen printing,2.0,1.1
323117,Books printing,2.3,1.6
32312,Support activities for printing,2.4,1.5
324,Petroleum and coal products manufacturing,1.6,1.0
3241,Petroleum and coal products manufacturing,1.6,1.0
32411,Petroleum refineries,0.7,0.4
32412,"Asphalt paving, roofing, and saturated materials manufacturing",3.1,2.0
324121,Asphalt paving mixture and block manufacturing,4.5,2.8
324122,Asphalt shingle and coating materials manufacturing,1.6,1.1
32419,Other petroleum and coal products manufacturing,3.6,2.4
324191,Petroleum lubricating oil and grease manufacturing,3.5,1.8
324199,All other petroleum and coal products manufacturing,3.9,3.6
325,Chemical manufacturing,2.0,1.2
3251,Basic chemical manufacturing,1.6,0.9
32511,Petrochemical manufacturing,0.8,0.5
32512,Industrial gas manufacturing,0.6,0.3
32513,Synthetic dye and pigment manufacturing,1.7,1.1
32518,Other basic inorganic chemical manufacturing,2.3,1.3
32519,Other basic organic chemical manufacturing,1.8,1.0
325193,Ethyl alcohol manufacturing,2.6,1.7
325194,"Cyclic crude, intermediate, and gum and wood chemical manufacturing",2.6,1.2
325199,All other basic organic chemical manufacturing,1.4,0.8
3252,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",1.8,1.1
32521,Resin and synthetic rubber manufacturing,1.9,1.2
325211,Plastics material and resin manufacturing,1.6,0.9
325212,Synthetic rubber manufacturing,3.9,2.9
32522,Artificial and synthetic fibers and filaments manufacturing,1.5,1.1
3253,"Pesticide, fertilizer, and other agricultural chemical manufacturing",2.7,1.9
32531,Fertilizer manufacturing,2.6,1.8
325311,Nitrogenous fertilizer manufacturing,0.8,0.5
325312,Phosphatic fertilizer manufacturing,2.2,1.2
325314,Fertilizer (mixing only) manufacturing,4.5,3.5
32532,Pesticide and other agricultural chemical manufacturing,3.0,2.0
3254,Pharmaceutical and medicine manufacturing,1.6,1.0
32541,Pharmaceutical and medicine manufacturing,1.6,1.0
325411,Medicinal and botanical manufacturing,2.5,1.3
325412,Pharmaceutical preparation manufacturing,1.6,1.0
325413,In-vitro diagnostic substance manufacturing,1.3,0.8
325414,Biological product (except diagnostic) manufacturing,1.4,0.8
3255,"Paint, coating, and adhesive manufacturing",2.9,2.0
32551,Paint and coating manufacturing,3.0,2.0
32552,Adhesive manufacturing,2.7,1.9
3256,"Soap, cleaning compound, and toilet preparation manufacturing",2.3,1.3
